spin,pocket
1,22
2,3
3,10
4,6
5,32
6,22
7,17
8,5
9,20
10,2
11,14
12,0
13,8
14,23
15,21
16,30
17,14
18,17
19,36
20,1
21,8
22,6
23,22
24,25
25,25
26,23
27,28
28,3
29,13
30,7
31,18
32,14
33,25
34,17
35,8
36,3
37,19
38,8
39,34
40,15
41,7
42,6
43,0
44,23
45,25
46,21
47,11
48,8
49,28
50,36
51,0
52,7
53,31
54,17
55,14
56,23
57,27
58,7
59,7
60,22
61,36
62,35
63,9
64,15
65,21
66,30
67,9
68,29
69,2
70,30
71,16
72,18
73,4
74,5
75,13
76,10
77,24
78,6
79,14
80,30
81,9
82,10
83,4
84,1
85,9
86,32
87,27
88,0
89,15
90,21
91,33
92,30
93,17
94,26
95,11
96,34
97,18
98,1
99,26
100,36
101,6
102,17
103,14
104,6
105,25
106,9
107,25
108,0
109,17
110,36
111,7
112,31
113,21
114,35
115,19
116,33
117,28
118,1
119,15
120,13
121,7
122,31
123,22
124,24
125,0
126,17
127,25
128,30
129,32
130,32
131,19
132,30
133,3
134,6
135,6
136,31
137,16
138,31
139,28
140,8
141,13
142,12
143,8
144,0
145,28
146,16
147,6
148,7
149,2
150,24
151,3
152,9
153,3
154,33
155,23
156,32
157,32
158,15
159,1
160,17
161,19
162,21
163,36
164,19
165,10
166,4
167,35
168,2
169,6
170,15
171,9
172,8
173,35
174,36
175,36
176,27
177,3
178,16
179,3
180,16
181,29
182,33
183,17
184,25
185,12
186,22
187,2
188,10
189,2
190,17
191,10
192,33
193,20
194,26
195,28
196,27
197,23
198,11
199,20
200,11
201,14
202,4
203,25
204,3
205,20
206,27
207,19
208,34
209,36
210,31
211,13
212,7
213,0
214,16
215,26
216,0
217,23
218,28
219,30
220,7
221,21
222,8
223,24
224,34
225,27
226,1
227,34
228,13
229,28
230,6
231,36
232,22
233,20
234,16
235,36
236,28
237,0
238,11
239,3
240,29
241,14
242,9
243,32
244,17
245,35
246,1
247,3
248,13
249,16
250,23
251,15
252,15
253,32
254,12
255,30
256,22
257,27
258,30
259,32
260,34
261,36
262,17
263,22
264,26
265,12
266,29
267,30
268,17
269,36
270,1
271,28
272,32
273,7
274,6
275,18
276,23
277,19
278,33
279,8
280,10
281,1
282,8
283,17
284,24
285,2
286,35
287,1
288,20
289,21
290,14
291,2
292,30
293,11
294,10
295,15
296,4
297,19
298,17
299,18
300,11
301,21
302,1
303,15
304,14
305,10
306,26
307,6
308,10
309,3
310,28
311,31
312,5
313,25
314,18
315,19
316,25
317,2
318,13
319,30
320,7
321,32
322,20
323,24
324,36
325,6
326,36
327,14
328,31
329,32
330,0
331,36
332,22
333,4
334,21
335,12
336,31
337,1
338,33
339,7
340,30
341,13
342,33
343,0
344,34
345,13
346,24
347,32
348,29
349,32
350,5
351,27
352,17
353,17
354,35
355,33
356,33
357,19
358,0
359,7
360,4
361,26
362,31
363,23
364,8
365,10
366,35
367,19
368,8
369,18
370,34
371,14
372,23
373,2
374,17
375,27
376,0
377,6
378,17
379,26
380,18
381,16
382,9
383,2
384,15
385,5
386,17
387,0
388,8
389,9
390,4
391,23
392,20
393,34
394,26
395,9
396,25
397,6
398,5
399,15
400,10
401,19
402,15
403,26
404,28
405,21
406,3
407,24
408,17
409,26
410,5
411,21
412,30
413,24
414,4
415,33
416,28
417,22
418,17
419,18
420,30
421,22
422,6
423,16
424,17
425,2
426,35
427,31
428,36
429,17
430,3
431,28
432,11
433,6
434,16
435,13
436,31
437,0
438,16
439,29
440,8
441,26
442,6
443,10
444,34
445,27
446,20
447,6
448,18
449,9
450,28
451,0
452,17
453,18
454,12
455,9
456,28
457,17
458,9
459,1
460,24
461,13
462,19
463,8
464,33
465,15
466,14
467,8
468,6
469,20
470,5
471,7
472,20
473,31
474,18
475,6
476,21
477,13
478,3
479,17
480,30
481,26
482,0
483,24
484,12
485,34
486,22
487,30
488,31
489,31
490,29
491,19
492,2
493,28
494,4
495,19
496,20
497,14
498,17
499,26
500,17
501,28
502,8
503,12
504,34
505,1
506,35
507,36
508,0
509,33
510,1
511,30
512,4
513,32
514,17
515,19
516,28
517,13
518,12
519,36
520,19
521,11
522,34
523,3
524,18
525,15
526,26
527,34
528,35
529,30
530,29
531,20
532,1
533,33
534,9
535,34
536,27
537,17
538,30
539,12
540,20
541,10
542,17
543,3
544,20
545,14
546,25
547,19
548,31
549,25
550,3
551,2
552,7
553,4
554,1
555,29
556,16
557,23
558,2
559,18
560,16
561,16
562,35
563,18
564,29
565,4
566,5
567,14
568,22
569,31
570,13
571,17
572,36
573,8
574,8
575,2
576,5
577,30
578,0
579,0
580,2
581,4
582,6
583,28
584,24
585,32
586,13
587,18
588,21
589,11
590,14
591,7
592,34
593,3
594,31
595,33
596,25
597,36
598,15
599,34
600,13
601,26
602,16
603,2
604,3
605,17
606,28
607,21
608,23
609,4
610,16
611,11
612,25
613,25
614,11
615,12
616,18
617,18
618,32
619,9
620,7
621,31
622,16
623,34
624,18
625,29
626,16
627,0
628,29
629,22
630,24
631,4
632,4
633,17
634,8
635,11
636,26
637,21
638,7
639,16
640,2
641,27
642,4
643,15
644,32
645,36
646,10
647,12
648,2
649,18
650,4
651,36
652,23
653,32
654,25
655,17
656,24
657,31
658,7
659,5
660,36
661,10
662,6
663,21
664,28
665,23
666,0
667,10
668,8
669,17
670,34
671,1
672,3
673,3
674,6
675,4
676,12
677,33
678,7
679,15
680,11
681,17
682,10
683,8
684,1
685,5
686,35
687,17
688,23
689,14
690,31
691,4
692,35
693,34
694,16
695,21
696,26
697,33
698,33
699,17
700,24
701,17
702,17
703,16
704,27
705,28
706,4
707,36
708,1
709,25
710,11
711,31
712,3
713,17
714,30
715,12
716,24
717,27
718,12
719,9
720,24
721,19
722,7
723,11
724,22
725,34
726,27
727,8
728,16
729,34
730,30
731,10
732,29
733,6
734,32
735,17
736,19
737,9
738,1
739,4
740,17
741,0
742,9
743,5
744,35
745,1
746,11
747,31
748,29
749,31
750,23
751,8
752,36
753,15
754,2
755,4
756,17
757,27
758,7
759,26
760,13
761,4
762,34
763,30
764,11
765,2
766,0
767,30
768,4
769,12
770,18
771,21
772,18
773,3
774,2
775,19
776,5
777,20
778,4
779,1
780,30
781,12
782,33
783,17
784,12
785,15
786,36
787,10
788,9
789,30
790,31
791,25
792,20
793,7
794,2
795,24
796,34
797,35
798,35
799,29
800,29
801,28
802,9
803,16
804,0
805,9
806,1
807,21
808,17
809,18
810,26
811,3
812,29
813,6
814,14
815,20
816,21
817,26
818,24
819,24
820,20
821,11
822,23
823,18
824,10
825,12
826,8
827,32
828,2
829,22
830,9
831,24
832,35
833,27
834,3
835,18
836,35
837,4
838,17
839,19
840,7
841,30
842,17
843,15
844,15
845,33
846,17
847,35
848,26
849,19
850,29
851,22
852,17
853,17
854,5
855,35
856,5
857,31
858,22
859,35
860,8
861,34
862,32
863,27
864,5
865,10
866,1
867,30
868,28
869,18
870,25
871,14
872,23
873,24
874,34
875,31
876,14
877,8
878,19
879,7
880,16
881,25
882,5
883,35
884,13
885,14
886,17
887,17
888,26
889,36
890,23
891,26
892,24
893,17
894,29
895,1
896,23
897,23
898,2
899,8
900,9
901,35
902,17
903,15
904,31
905,2
906,16
907,34
908,2
909,6
910,35
911,9
912,10
913,28
914,16
915,9
916,17
917,13
918,8
919,12
920,23
921,1
922,4
923,13
924,14
925,12
926,23
927,31
928,3
929,30
930,19
931,32
932,26
933,36
934,11
935,2
936,3
937,15
938,22
939,28
940,18
941,2
942,34
943,2
944,14
945,3
946,21
947,19
948,8
949,31
950,22
951,25
952,23
953,17
954,23
955,15
956,13
957,29
958,31
959,36
960,10
961,33
962,7
963,3
964,4
965,12
966,29
967,28
968,14
969,9
970,2
971,21
972,9
973,15
974,34
975,23
976,33
977,5
978,18
979,6
980,11
981,27
982,17
983,6
984,20
985,2
986,21
987,30
988,28
989,25
990,34
991,14
992,9
993,18
994,0
995,29
996,20
997,18
998,34
999,34
1000,13
