spin,pocket
1,14
2,17
3,4
4,12
5,10
6,14
7,3
8,28
9,14
10,32
11,3
12,16
13,21
14,9
15,8
16,23
17,29
18,16
19,16
20,24
21,34
22,2
23,17
24,8
25,6
26,34
27,35
28,17
29,4
30,19
31,10
32,13
33,21
34,21
35,32
36,17
37,6
38,5
39,8
40,19
41,16
42,20
43,12
44,31
45,25
46,2
47,23
48,25
49,28
50,26
51,13
52,32
53,16
54,5
55,8
56,30
57,25
58,7
59,33
60,14
61,27
62,32
63,12
64,27
65,24
66,19
67,21
68,20
69,19
70,28
71,24
72,7
73,3
74,14
75,25
76,18
77,31
78,8
79,9
80,7
81,33
82,6
83,8
84,30
85,17
86,26
87,6
88,34
89,16
90,6
91,35
92,12
93,32
94,20
95,21
96,34
97,14
98,34
99,20
100,33
101,3
102,10
103,18
104,6
105,6
106,36
107,31
108,14
109,25
110,3
111,9
112,17
113,20
114,29
115,16
116,35
117,21
118,17
119,35
120,0
121,3
122,29
123,11
124,22
125,28
126,24
127,10
128,25
129,3
130,17
131,6
132,31
133,5
134,4
135,10
136,33
137,1
138,0
139,11
140,18
141,36
142,4
143,27
144,36
145,27
146,21
147,18
148,9
149,27
150,0
151,9
152,35
153,4
154,8
155,27
156,30
157,8
158,22
159,11
160,15
161,8
162,25
163,28
164,32
165,17
166,5
167,3
168,11
169,32
170,32
171,32
172,36
173,33
174,10
175,22
176,0
177,3
178,1
179,17
180,6
181,25
182,2
183,12
184,31
185,30
186,32
187,34
188,27
189,21
190,22
191,10
192,3
193,30
194,35
195,15
196,35
197,9
198,30
199,21
200,30
201,35
202,36
203,23
204,8
205,30
206,10
207,10
208,29
209,28
210,8
211,28
212,16
213,15
214,32
215,3
216,22
217,10
218,7
219,21
220,1
221,0
222,1
223,31
224,21
225,10
226,5
227,6
228,18
229,28
230,25
231,2
232,26
233,15
234,34
235,31
236,34
237,2
238,5
239,13
240,16
241,27
242,16
243,16
244,0
245,29
246,2
247,26
248,6
249,9
250,22
251,32
252,24
253,2
254,16
255,29
256,16
257,3
258,32
259,30
260,11
261,10
262,26
263,17
264,33
265,33
266,35
267,14
268,8
269,19
270,24
271,10
272,30
273,29
274,25
275,32
276,25
277,22
278,20
279,22
280,34
281,14
282,15
283,23
284,5
285,20
286,3
287,10
288,3
289,19
290,14
291,1
292,30
293,16
294,30
295,29
296,3
297,24
298,18
299,28
300,1
301,34
302,30
303,33
304,0
305,21
306,29
307,25
308,14
309,26
310,10
311,6
312,22
313,11
314,8
315,24
316,10
317,20
318,25
319,25
320,0
321,1
322,14
323,35
324,22
325,8
326,28
327,36
328,25
329,15
330,23
331,7
332,6
333,27
334,21
335,0
336,22
337,8
338,32
339,2
340,28
341,14
342,3
343,8
344,26
345,32
346,34
347,18
348,6
349,23
350,15
351,12
352,12
353,4
354,4
355,21
356,15
357,26
358,1
359,33
360,26
361,18
362,30
363,30
364,33
365,32
366,35
367,10
368,15
369,24
370,4
371,26
372,35
373,8
374,36
375,36
376,29
377,32
378,29
379,6
380,15
381,36
382,19
383,16
384,22
385,27
386,10
387,23
388,33
389,19
390,30
391,1
392,8
393,30
394,27
395,6
396,11
397,22
398,13
399,33
400,11
401,2
402,30
403,18
404,30
405,34
406,14
407,15
408,16
409,15
410,10
411,7
412,14
413,25
414,27
415,13
416,25
417,4
418,28
419,13
420,8
421,13
422,19
423,30
424,29
425,20
426,30
427,11
428,35
429,24
430,15
431,2
432,31
433,24
434,17
435,5
436,26
437,4
438,36
439,31
440,29
441,22
442,32
443,33
444,36
445,33
446,1
447,17
448,4
449,23
450,10
451,9
452,18
453,9
454,35
455,20
456,21
457,22
458,28
459,33
460,26
461,8
462,26
463,4
464,21
465,19
466,21
467,16
468,6
469,25
470,21
471,30
472,6
473,9
474,35
475,31
476,34
477,22
478,26
479,33
480,35
481,19
482,10
483,31
484,1
485,28
486,23
487,17
488,7
489,4
490,3
491,31
492,8
493,19
494,36
495,22
496,22
497,35
498,27
499,14
500,2
501,31
502,26
503,24
504,28
505,8
506,15
507,16
508,3
509,5
510,18
511,33
512,13
513,24
514,28
515,25
516,23
517,32
518,20
519,13
520,31
521,16
522,7
523,32
524,29
525,17
526,32
527,8
528,28
529,20
530,6
531,1
532,22
533,0
534,18
535,28
536,6
537,31
538,9
539,24
540,17
541,17
542,3
543,15
544,24
545,16
546,23
547,20
548,34
549,32
550,31
551,19
552,0
553,24
554,34
555,4
556,34
557,5
558,27
559,22
560,29
561,28
562,13
563,4
564,3
565,24
566,20
567,29
568,11
569,11
570,22
571,21
572,23
573,26
574,26
575,14
576,20
577,31
578,35
579,26
580,3
581,4
582,23
583,24
584,10
585,28
586,34
587,0
588,30
589,1
590,15
591,35
592,35
593,18
594,9
595,21
596,6
597,26
598,8
599,19
600,32
601,9
602,29
603,3
604,7
605,36
606,17
607,30
608,5
609,13
610,24
611,3
612,17
613,19
614,32
615,20
616,1
617,14
618,28
619,6
620,17
621,29
622,0
623,8
624,35
625,0
626,16
627,7
628,4
629,24
630,15
631,4
632,12
633,11
634,29
635,26
636,12
637,34
638,32
639,13
640,23
641,23
642,35
643,0
644,9
645,21
646,31
647,18
648,32
649,2
650,2
651,18
652,18
653,10
654,34
655,11
656,9
657,10
658,29
659,15
660,25
661,30
662,17
663,34
664,30
665,1
666,28
667,34
668,3
669,5
670,26
671,2
672,11
673,2
674,18
675,16
676,27
677,29
678,14
679,29
680,34
681,2
682,0
683,4
684,23
685,33
686,16
687,32
688,31
689,31
690,24
691,4
692,22
693,9
694,18
695,10
696,7
697,7
698,10
699,5
700,26
701,24
702,30
703,29
704,25
705,19
706,7
707,20
708,17
709,0
710,1
711,0
712,5
713,8
714,6
715,6
716,18
717,21
718,0
719,32
720,6
721,9
722,22
723,32
724,25
725,14
726,26
727,2
728,8
729,3
730,26
731,7
732,30
733,26
734,16
735,23
736,36
737,12
738,24
739,23
740,33
741,4
742,24
743,0
744,34
745,31
746,20
747,28
748,18
749,22
750,1
751,35
752,5
753,34
754,0
755,0
756,19
757,0
758,4
759,35
760,26
761,26
762,16
763,15
764,4
765,7
766,25
767,1
768,18
769,10
770,27
771,23
772,3
773,7
774,25
775,23
776,20
777,14
778,0
779,0
780,11
781,16
782,4
783,26
784,27
785,18
786,32
787,27
788,35
789,1
790,10
791,23
792,12
793,14
794,1
795,6
796,20
797,2
798,16
799,34
800,19
801,6
802,19
803,32
804,34
805,33
806,29
807,2
808,36
809,19
810,17
811,33
812,36
813,22
814,36
815,28
816,4
817,29
818,0
819,4
820,11
821,23
822,25
823,27
824,13
825,23
826,17
827,17
828,8
829,19
830,12
831,28
832,3
833,16
834,16
835,30
836,25
837,11
838,25
839,25
840,12
841,7
842,17
843,4
844,33
845,6
846,36
847,32
848,15
849,3
850,22
851,32
852,1
853,14
854,20
855,28
856,28
857,0
858,30
859,24
860,9
861,36
862,5
863,23
864,8
865,10
866,11
867,34
868,32
869,8
870,18
871,27
872,33
873,31
874,27
875,18
876,16
877,0
878,30
879,33
880,17
881,34
882,1
883,9
884,9
885,17
886,0
887,2
888,29
889,12
890,35
891,20
892,4
893,2
894,31
895,29
896,9
897,20
898,17
899,26
900,33
901,16
902,0
903,13
904,33
905,6
906,32
907,8
908,19
909,7
910,23
911,30
912,24
913,26
914,11
915,0
916,33
917,22
918,12
919,20
920,7
921,5
922,14
923,24
