dataset,label,observed_count,expected_count,pearson_residual
unbiased,0,31,27.027027027,0.764216610018
unbiased,1,24,27.027027027,-0.582260274299
unbiased,2,25,27.027027027,-0.389906433683
unbiased,3,30,27.027027027,0.571862769401
unbiased,4,28,27.027027027,0.187155088168
unbiased,5,19,27.027027027,-1.54402947738
unbiased,6,33,27.027027027,1.14892429125
unbiased,7,20,27.027027027,-1.35167563677
unbiased,8,32,27.027027027,0.956570450634
unbiased,9,22,27.027027027,-0.966967955533
unbiased,10,29,27.027027027,0.379508928784
unbiased,11,23,27.027027027,-0.774614114916
unbiased,12,17,27.027027027,-1.92873715862
unbiased,13,14,27.027027027,-2.50579868047
unbiased,14,27,27.027027027,-0.0051987524491
unbiased,15,21,27.027027027,-1.15932179615
unbiased,16,36,27.027027027,1.7259858131
unbiased,17,30,27.027027027,0.571862769401
unbiased,18,25,27.027027027,-0.389906433683
unbiased,19,22,27.027027027,-0.966967955533
unbiased,20,27,27.027027027,-0.0051987524491
unbiased,21,25,27.027027027,-0.389906433683
unbiased,22,30,27.027027027,0.571862769401
unbiased,23,26,27.027027027,-0.197552593066
unbiased,24,30,27.027027027,0.571862769401
unbiased,25,30,27.027027027,0.571862769401
unbiased,26,34,27.027027027,1.34127813187
unbiased,27,23,27.027027027,-0.774614114916
unbiased,28,28,27.027027027,0.187155088168
unbiased,29,30,27.027027027,0.571862769401
unbiased,30,33,27.027027027,1.14892429125
unbiased,31,25,27.027027027,-0.389906433683
unbiased,32,39,27.027027027,2.30304733495
unbiased,33,30,27.027027027,0.571862769401
unbiased,34,31,27.027027027,0.764216610018
unbiased,35,28,27.027027027,0.187155088168
unbiased,36,23,27.027027027,-0.774614114916
biased,0,27,27.027027027,-0.0051987524491
biased,1,27,27.027027027,-0.0051987524491
biased,2,33,27.027027027,1.14892429125
biased,3,30,27.027027027,0.571862769401
biased,4,30,27.027027027,0.571862769401
biased,5,19,27.027027027,-1.54402947738
biased,6,30,27.027027027,0.571862769401
biased,7,27,27.027027027,-0.0051987524491
biased,8,31,27.027027027,0.764216610018
biased,9,29,27.027027027,0.379508928784
biased,10,24,27.027027027,-0.582260274299
biased,11,21,27.027027027,-1.15932179615
biased,12,22,27.027027027,-0.966967955533
biased,13,23,27.027027027,-0.774614114916
biased,14,26,27.027027027,-0.197552593066
biased,15,26,27.027027027,-0.197552593066
biased,16,27,27.027027027,-0.0051987524491
biased,17,61,27.027027027,6.53483182852
biased,18,30,27.027027027,0.571862769401
biased,19,26,27.027027027,-0.197552593066
biased,20,21,27.027027027,-1.15932179615
biased,21,24,27.027027027,-0.582260274299
biased,22,21,27.027027027,-1.15932179615
biased,23,28,27.027027027,0.187155088168
biased,24,23,27.027027027,-0.774614114916
biased,25,24,27.027027027,-0.582260274299
biased,26,25,27.027027027,-0.389906433683
biased,27,19,27.027027027,-1.54402947738
biased,28,29,27.027027027,0.379508928784
biased,29,22,27.027027027,-0.966967955533
biased,30,32,27.027027027,0.956570450634
biased,31,31,27.027027027,0.764216610018
biased,32,23,27.027027027,-0.774614114916
biased,33,22,27.027027027,-0.966967955533
biased,34,32,27.027027027,0.956570450634
biased,35,25,27.027027027,-0.389906433683
biased,36,30,27.027027027,0.571862769401
